DateScraped,CitationNumber,Sequence,ViolationCode,ViolationDescription,Plea,Finding,Dispo,DismissalReason,CloseDate
2023-03-18,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,NA,PN,NA,NA
2023-03-18,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,NA,NA,PN,NA,NA
2023-03-18,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-03-18,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-03-18,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-03-18,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-03-18,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-03-18,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-06-09,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-06-09,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-06-09,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-06-09,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-06-09,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-06-09,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-06-09,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-06-09,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-06-09,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-06-24,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-06-24,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,DF,NA,NA
2023-06-24,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-06-24,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-06-26,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-06-26,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,DF,NA,NA
2023-06-26,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-06-26,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-06-27,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-06-27,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-06-27,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-06-27,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-06-27,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,DF,NA,NA
2023-06-27,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-06-27,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-06-27,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-06-27,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-06-27,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-06-27,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-06-27,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-06-27,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-06-28,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-06-28,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,DF,NA,NA
2023-06-28,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-06-28,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-06-28,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-06-28,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-06-28,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-06-28,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-06-28,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-06-28,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-06-28,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-06-28,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-06-28,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-07-02,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-07-02,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,PD,NA,06/29/2023
2023-07-02,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-07-02,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-07-02,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-07-02,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-07-02,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-07-02,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-07-02,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-07-02,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-07-02,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-07-02,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-07-02,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-07-05,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-07-05,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,PD,NA,06/29/2023
2023-07-05,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-07-05,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-07-05,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-07-05,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-07-05,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-07-05,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-07-05,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-07-05,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-07-05,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-07-05,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-07-05,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-07-06,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-07-06,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,PD,NA,06/29/2023
2023-07-06,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,06/04/2023
2023-07-06,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,C,CN,NA,06/05/2023
2023-07-06,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-07-06,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-07-06,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-07-06,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-07-06,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-07-06,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-07-06,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-07-06,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-07-06,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-07-13,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,,C,DF,,
2023-07-13,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,,C,PD,,06/29/2023
2023-07-13,2300665354,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",,,CN,,06/04/2023
2023-07-13,2300585594,1,11.50.140,RED LIGHT CAMERA VIOLATION,,C,CN,,06/05/2023
